Z	A	Level	YI	YI uncert
50	128	1	0.0015049	0.00096314
50	128	0	0.0015049	0.000963138
51	135	0	0.00145137	0.000116109
34	83	0	0.0014292	0.000085752
60	152	0	0.00140984	0.000634428
37	90	0	0.00138623	0.000083174
41	105	0	0.00138613	0.000110891
50	133	0	0.0013772	0.00088141
53	140	0	0.00136749	0.000314523
38	99	0	0.00133158	0.00014647
33	82	0	0.0012875	0.000823999
40	95	0	0.00127244	0.00020359
32	82	0	0.00126469	5.05876E-05
32	81	0	0.00126259	5.05036E-05
33	88	0	0.00124298	0.00079551
42	107	0	0.00121442	0.000777231
33	85	0	0.00121362	0.00077672
40	105	0	0.00115837	0.000741356
41	98	0	0.00115633	0.00074005
60	153	0	0.00110947	0.000499262
59	152	0	0.00102554	0.000656344
32	80	0	0.00101818	0.000040727
58	151	0	0.00099025	0.00063376
33	84	1	0.000986965	0.000631658
33	84	0	0.000986965	0.000631658
52	131	0	0.0009699	0.00010669
57	142	0	0.00096517	0.00030886
43	104	0	0.000926325	0.000148212
48	130	0	0.00087798	0.00056191
36	86	0	0.000872228	6.97783E-05
36	94	0	0.00086815	0.000095496
50	127	0	0.000866709	5.20025E-05
58	145	0	0.00085438	0.0005468
40	104	0	0.00082787	0.00013246
53	133	1	0.000825122	0.000528078
53	133	0	0.000825122	0.000528078
43	103	0	0.000821682	0.000525876
57	149	0	0.000798754	0.000511202
60	151	0	0.00079511	0.00050887
54	135	0	0.00078513	0.000047108
55	145	0	0.000756187	6.04949E-05
51	137	0	0.000743307	0.000475717
38	90	0	0.00073713	0.000044228
42	100	0	0.000729498	0.00023344
39	92	0	0.000714829	0.000321673
56	139	0	0.000687681	0.000309457
52	138	0	0.00066182	0.00042357
51	129	0	0.000640685	0.000288308
33	81	0	0.00060905	0.000048724
55	137	0	0.000599988	6.59986E-05
60	154	0	0.00058022	0.00037134
52	130	0	0.000578719	9.25951E-05
39	93	1	0.000543342	0.000347739
39	93	0	0.00054334	0.00034774
33	87	0	0.000505324	0.000323408
34	89	0	0.000485486	5.34034E-05
43	105	0	0.00048459	0.00031014
32	83	0	0.00047886	0.00030647
50	126	0	0.0004447	0.00028461
42	99	0	0.00042814	0.000068502
49	127	0	0.000411691	0.000131741
53	141	0	0.00040681	0.000093566
59	148	1	0.00038861	0.00024871
59	148	0	0.000388608	0.000248709
41	98	1	0.000385493	0.000246715
37	97	0	0.000379373	3.03499E-05
36	96	0	0.000378113	0.000241992
34	82	0	0.000370984	2.96787E-05
59	153	0	0.00036744	0.00023516
37	100	0	0.000347615	0.000222474
58	144	0	0.000345456	0.000221092
34	83	1	0.000335246	2.01148E-05
60	150	0	0.000327227	0.000209425
