Z	A	Level	YI	YI uncert
43	115	0	9.01994E-10	5.77276E-10
49	117	1	8.5894E-10	5.4972E-10
41	111	0	8.00212E-10	5.12136E-10
30	71	0	7.70946E-10	4.93405E-10
48	114	0	7.64946E-10	4.89565E-10
66	167	0	7.5095E-10	4.8061E-10
55	132	0	7.3795E-10	4.7229E-10
44	118	0	6.9195E-10	4.4285E-10
26	67	0	6.86951E-10	4.39649E-10
30	83	0	6.3195E-10	4.0445E-10
65	161	0	5.95958E-10	3.81413E-10
27	72	0	5.79959E-10	3.71174E-10
58	156	0	5.72955E-10	3.66691E-10
28	77	0	5.63954E-10	3.6093E-10
60	145	0	5.5496E-10	3.5518E-10
42	96	0	5.3296E-10	3.411E-10
29	80	0	5.24963E-10	3.35976E-10
60	160	0	5.0396E-10	3.2254E-10
65	162	1	4.5197E-10	2.8926E-10
65	162	0	4.51968E-10	2.8926E-10
40	91	0	4.41969E-10	2.8286E-10
39	89	0	4.39969E-10	2.8158E-10
66	166	0	3.97972E-10	2.54702E-10
26	68	0	3.91972E-10	2.50862E-10
63	165	0	3.8697E-10	2.4766E-10
56	135	0	3.81973E-10	2.44463E-10
56	135	1	3.8197E-10	2.4446E-10
26	66	0	3.7597E-10	2.4062E-10
59	158	0	3.74973E-10	2.39983E-10
35	80	0	3.70974E-10	2.37423E-10
64	167	0	3.6797E-10	2.355E-10
66	168	0	3.63974E-10	2.32944E-10
50	119	0	3.39976E-10	2.17585E-10
36	82	0	3.34976E-10	2.14385E-10
30	70	0	3.02979E-10	1.93906E-10
43	99	1	2.8898E-10	1.84947E-10
65	160	0	2.8398E-10	1.8175E-10
27	66	0	2.8098E-10	1.79827E-10
31	87	0	2.5411E-10	1.6263E-10
52	127	1	2.42983E-10	1.55509E-10
27	73	0	2.2098E-10	1.4143E-10
54	130	0	1.96986E-10	6.30355E-11
31	72	1	1.92986E-10	1.23511E-10
31	72	0	1.92986E-10	1.23511E-10
66	169	0	1.73988E-10	1.11352E-10
65	168	0	1.7299E-10	1.1071E-10
34	94	0	1.70988E-10	1.09432E-10
44	101	0	1.6199E-10	1.0367E-10
66	165	0	1.5299E-10	9.7913E-11
56	152	0	1.48988E-10	9.53524E-11
45	104	1	1.4699E-10	9.40734E-11
57	154	0	1.4599E-10	9.34334E-11
45	121	0	1.4399E-10	9.2151E-11
64	156	0	1.4299E-10	9.15135E-11
35	98	0	1.38928E-10	8.8914E-11
26	69	0	1.2199E-10	7.8075E-11
62	150	0	1.2199E-10	7.8075E-11
38	86	0	1.18992E-10	7.61546E-11
52	127	0	9.9193E-11	6.3484E-11
60	144	0	9.56932E-11	1.05263E-11
40	110	0	9.2893E-11	5.9451E-11
61	148	1	8.0994E-11	5.1836E-11
29	68	1	7.3595E-11	4.7101E-11
49	135	0	7.2555E-11	4.6435E-11
57	137	0	6.92951E-11	4.43489E-11
61	162	0	6.79952E-11	4.35169E-11
43	116	0	6.30955E-11	4.03811E-11
62	164	0	6.03957E-11	3.86533E-11
28	66	0	5.7796E-11	3.6989E-11
28	78	0	5.0296E-11	3.219E-11
45	104	0	4.88965E-11	3.12938E-11
66	164	0	4.77966E-11	3.05898E-11
48	133	0	4.4894E-11	2.8732E-11
61	148	0	4.44969E-11	2.8478E-11
42	114	0	4.3997E-11	2.8158E-11
50	118	0	4.0997E-11	2.6238E-11
65	169	0	4.06971E-11	2.60462E-11
32	89	0	4.0431E-11	2.5876E-11
66	170	0	3.7297E-11	2.387E-11
41	93	0	3.61974E-11	2.31664E-11
51	121	0	3.5298E-11	1.1295E-11
50	138	0	3.28977E-11	2.10545E-11
26	70	0	3.23977E-11	2.07345E-11
29	68	0	3.14978E-11	2.01586E-11
27	74	0	2.99979E-11	1.91986E-11
49	116	0	2.5665E-11	1.6426E-11
49	116	1	2.56649E-11	1.64255E-11
49	116	2	2.56649E-11	1.64255E-11
33	75	0	2.5598E-11	1.6383E-11
63	166	0	2.49982E-11	1.59989E-11
41	112	0	2.49026E-11	1.59376E-11
61	147	0	2.48982E-11	1.59349E-11
32	73	0	2.37983E-11	1.52309E-11
59	142	1	2.31484E-11	1.4815E-11
59	142	0	2.31484E-11	1.4815E-11
66	165	1	2.28984E-11	1.4655E-11
67	169	0	2.2298E-11	1.4271E-11
64	168	0	2.17985E-11	1.3951E-11
37	84	0	2.15985E-11	1.3823E-11
55	150	0	1.98986E-11	1.27351E-11
34	77	1	1.83987E-11	1.17752E-11
52	123	1	1.71988E-11	1.10072E-11
39	88	0	1.6999E-11	1.0879E-11
65	159	0	1.69988E-11	1.08792E-11
47	125	0	1.65988E-11	1.06232E-11
37	102	0	1.4718E-11	9.41955E-12
66	163	0	1.23991E-11	7.93544E-12
36	99	0	1.2276E-11	7.85662E-12
67	168	0	1.15992E-11	7.42348E-12
54	148	0	1.0999E-11	7.0395E-12
66	171	0	1.08992E-11	6.97551E-12
67	171	0	1.0699E-11	6.8475E-12
48	112	0	1.05993E-11	3.39176E-12
30	69	1	1.0599E-11	6.7835E-12
35	79	1	1.0399E-11	6.6555E-12
67	167	0	1.02993E-11	6.59153E-12
29	67	0	9.67932E-12	6.19476E-12
36	81	0	9.42933E-12	6.03477E-12
31	71	0	9.3893E-12	6.0092E-12
43	117	0	8.8445E-12	5.6605E-12
48	113	1	8.6794E-12	5.5548E-12
41	93	1	8.4894E-12	5.43322E-12
53	145	0	8.28533E-12	5.30261E-12
47	111	1	8.27941E-12	5.29883E-12
52	126	0	8.24942E-12	5.27963E-12
25	66	0	7.19949E-12	4.60767E-12
58	139	1	7.0295E-12	4.4989E-12
44	119	0	6.54946E-12	4.19166E-12
60	161	0	6.15949E-12	3.94208E-12
45	102	0	5.9096E-12	3.7821E-12
32	73	1	5.5896E-12	3.57735E-12
46	109	1	5.4596E-12	3.4942E-12
25	67	0	5.37962E-12	3.44296E-12
56	134	0	5.25963E-12	3.36616E-12
52	123	0	5.1396E-12	3.2894E-12
42	95	0	4.93965E-12	3.16138E-12
67	170	0	4.92965E-12	3.15498E-12
67	170	1	4.92965E-12	3.15498E-12
26	71	0	4.91965E-12	3.14858E-12
52	143	0	4.88094E-12	3.1238E-12
59	159	0	4.8795E-12	3.1229E-12
47	126	0	4.74966E-12	3.03979E-12
58	138	0	4.74966E-12	3.03979E-12
45	102	1	4.72967E-12	3.02699E-12
39	105	0	4.67E-12	2.9888E-12
58	157	0	4.5896E-12	2.9374E-12
61	146	0	4.4997E-12	2.8798E-12
31	88	0	4.42392E-12	2.83131E-12
45	103	1	4.2697E-12	2.7326E-12
64	155	0	4.0797E-12	2.611E-12
27	75	0	3.80963E-12	2.43816E-12
51	141	0	3.7504E-12	2.40026E-12
67	172	0	3.68974E-12	2.36143E-12
33	92	0	3.54764E-12	2.27049E-12
35	97	0	3.43679E-12	2.19955E-12
35	79	0	3.10978E-12	1.99026E-12
40	108	0	3.09978E-12	1.98386E-12
44	120	0	3.02979E-12	1.93906E-12
46	109	0	2.93979E-12	1.88147E-12
58	139	0	2.8698E-12	1.83667E-12
45	122	0	2.8498E-12	1.82387E-12
34	77	0	2.7498E-12	1.7599E-12
48	113	0	2.58982E-12	1.65748E-12
62	165	0	2.5498E-12	1.6319E-12
63	151	0	2.48982E-12	7.96744E-13
30	69	0	2.47982E-12	1.58709E-12
37	83	0	2.29984E-12	1.4719E-12
30	86	0	2.2798E-12	1.4591E-12
63	167	0	2.23984E-12	1.4335E-12
65	170	0	2.23984E-12	1.4335E-12
68	172	0	2.19984E-12	1.4079E-12
49	137	0	2.15233E-12	1.37749E-12
44	100	0	2.11985E-12	1.3567E-12
40	90	1	2.0949E-12	1.3407E-12
40	90	0	2.09485E-12	1.34071E-12
66	162	0	2.0299E-12	1.2991E-12
61	163	0	1.8199E-12	1.1647E-12
66	172	0	1.76987E-12	1.13272E-12
62	149	0	1.70988E-12	1.09432E-12
53	126	0	1.69988E-12	1.08792E-12
49	136	0	1.67988E-12	1.07512E-12
49	115	0	1.6299E-12	1.0431E-12
47	127	0	1.5799E-12	1.0111E-12
68	171	0	1.57989E-12	1.01113E-12
29	82	0	1.4799E-12	9.4713E-13
36	81	1	1.4099E-12	9.0234E-13
51	120	1	1.29991E-12	8.31941E-13
47	111	0	1.2399E-12	7.9354E-13
65	158	0	1.1999E-12	7.6795E-13
64	169	0	1.18992E-12	7.61546E-13
32	90	0	1.17072E-12	7.4926E-13
67	166	1	9.4093E-13	6.022E-13
48	134	0	9.32934E-13	5.97078E-13
63	152	1	9.06603E-13	5.80226E-13
63	152	2	9.06603E-13	5.80226E-13
63	152	0	9.066E-13	5.8023E-13
51	120	0	9.02936E-13	5.77879E-13
53	146	0	9.01799E-13	5.77152E-13
54	128	0	8.32941E-13	2.66541E-13
26	72	0	7.1494E-13	4.5756E-13
46	130	0	6.78952E-13	4.34529E-13
25	68	0	6.6595E-13	4.2621E-13
34	95	0	6.62575E-13	4.24048E-13
68	170	0	6.4196E-13	4.1085E-13
45	103	0	6.37955E-13	4.08291E-13
52	122	0	6.09957E-13	3.90372E-13
52	144	0	5.5767E-13	3.5691E-13
30	68	0	4.73967E-13	3.03339E-13
59	141	0	4.6897E-13	3.0014E-13
36	101	0	4.13579E-13	2.64691E-13
67	166	0	4.02972E-13	2.57902E-13
38	85	1	3.92472E-13	2.51182E-13
38	85	0	3.9247E-13	2.5118E-13
49	115	1	3.81973E-13	2.44463E-13
56	153	0	3.7281E-13	2.386E-13
50	139	0	3.6755E-13	2.3524E-13
32	72	0	3.6397E-13	2.3294E-13
68	169	0	3.26977E-13	2.09265E-13
45	101	0	3.25977E-13	2.08625E-13
34	76	0	3.03979E-13	1.94546E-13
57	155	0	2.95078E-13	1.8885E-13
65	171	0	2.9198E-13	1.8687E-13
33	93	0	2.84347E-13	1.81982E-13
27	76	0	2.5298E-13	1.6191E-13
66	161	0	2.50982E-13	1.60629E-13
50	117	1	2.49482E-13	1.59669E-13
50	117	0	2.49482E-13	1.59669E-13
37	103	0	2.38107E-13	1.52389E-13
52	125	1	2.29984E-13	1.4719E-13
41	92	0	2.2698E-13	1.4527E-13
53	147	0	2.0634E-13	1.3206E-13
67	165	0	2.04986E-13	1.31191E-13
51	142	0	1.7611E-13	1.1271E-13
30	85	0	1.54373E-13	9.87986E-14
31	70	0	1.4699E-13	9.40734E-14
29	66	0	1.4299E-13	9.1514E-14
65	158	1	1.32991E-13	8.5114E-14
34	96	0	1.2799E-13	8.1914E-14
33	74	1	1.15992E-13	7.42348E-14
47	128	0	1.11992E-13	7.16749E-14
64	154	0	1.11992E-13	7.16749E-14
39	87	0	9.99929E-14	6.39955E-14
54	149	0	9.51933E-14	6.09237E-14
55	151	0	9.46903E-14	6.06018E-14
43	97	1	8.79938E-14	5.6316E-14
43	97	0	8.79938E-14	5.6316E-14
45	123	0	8.5194E-14	5.45241E-14
25	69	0	8.02922E-14	5.1387E-14
52	125	0	6.8795E-14	4.4029E-14
68	168	0	6.78952E-14	4.34529E-14
62	166	0	6.42949E-14	4.11487E-14
36	80	0	6.24956E-14	3.99972E-14
32	91	0	6.13734E-14	3.9279E-14
26	73	0	5.53954E-14	3.54531E-14
33	74	0	4.98965E-14	3.19337E-14
35	78	0	4.93965E-14	3.16138E-14
65	157	0	4.92965E-14	3.15498E-14
60	143	0	4.79966E-14	3.07178E-14
39	109	0	4.45818E-14	2.85324E-14
51	119	0	3.8897E-14	2.4894E-14
58	158	0	3.86973E-14	2.47662E-14
60	162	0	3.47972E-14	2.22702E-14
42	94	0	2.99979E-14	1.91986E-14
63	168	0	2.8498E-14	1.8239E-14
59	160	0	2.8198E-14	1.80467E-14
64	170	0	2.6798E-14	1.7151E-14
55	131	0	2.53982E-14	1.62549E-14
24	66	0	2.40981E-14	1.54228E-14
42	115	0	2.36831E-14	1.51572E-14
47	110	1	2.27984E-14	1.4591E-14
40	111	0	2.10107E-14	1.34469E-14
40	89	0	2.06985E-14	1.32471E-14
66	160	0	1.92986E-14	1.23511E-14
69	172	0	1.67988E-14	1.07512E-14
61	164	0	1.65988E-14	1.06232E-14
62	148	0	1.63988E-14	1.04953E-14
28	80	0	1.55989E-14	9.98329E-15
46	128	0	1.33991E-14	8.57539E-15
41	113	0	1.2896E-14	8.2532E-15
44	99	0	1.09992E-14	7.0395E-15
68	167	0	1.09992E-14	7.0395E-15
65	172	0	1.04993E-14	6.71953E-15
56	133	0	1.03993E-14	6.65553E-15
45	124	0	1.0399E-14	6.6555E-15
29	83	0	7.3133E-15	4.68051E-15
27	77	0	6.52643E-15	4.17691E-15
43	118	0	5.88722E-15	3.76782E-15
57	156	0	4.8748E-15	3.1199E-15
44	121	0	3.7806E-15	2.4196E-15
55	152	0	1.2676E-15	8.1128E-16
40	112	0	8.89352E-16	5.69185E-16
39	110	0	7.9035E-16	5.05824E-16
27	78	0	4.27929E-16	2.73875E-16
41	114	0	3.74332E-16	2.39572E-16
42	117	0	2.3222E-16	1.4862E-16
58	159	0	1.28119E-16	8.19961E-17
26	75	0	1.0003E-16	6.4017E-17
43	119	0	7.57945E-17	4.85085E-17
59	161	0	7.12816E-17	4.56202E-17
57	157	0	5.3114E-17	3.3993E-17
39	106	0	4.97911E-17	3.18663E-17
47	129	0	2.9186E-17	1.86791E-17
39	107	0	6.27991E-18	4.01914E-18
25	72	0	6.08289E-18	3.89305E-18
24	69	0	2.10819E-18	1.34924E-18
25	73	0	6.41071E-19	4.10286E-19
61	166	0	5.4704E-19	3.501E-19
59	162	0	2.9606E-19	1.8948E-19
23	66	0	2.05032E-19	1.3122E-19
39	108	0	9.1877E-21	5.8801E-21
