Neutron energy =  2.5300E-02

PRODUCT      ZAFP     FPS           Y          DY
33-As- 90    33090.      0.  9.8514E-09  6.3049E-09
33-As- 92    33092.      0.  8.9997E-13  5.7598E-13
34-Se- 72    34072.      0.  0.0000E+00  0.0000E+00
34-Se- 73    34073.      0.  0.0000E+00  0.0000E+00
34-Se- 73-M  34073.      1.  0.0000E+00  0.0000E+00
34-Se- 74    34074.      0.  0.0000E+00  0.0000E+00
34-Se- 75    34075.      0.  9.0599E-13  5.7983E-13
34-Se- 76    34076.      0.  7.0599E-11  4.5183E-11
34-Se- 77    34077.      0.  3.8799E-10  2.4832E-10
34-Se- 77-M  34077.      1.  2.6000E-09  1.6640E-09
34-Se- 78    34078.      0.  1.1700E-07  7.4879E-08
34-Se- 79    34079.      0.  1.9900E-06  1.2736E-06
34-Se- 79-M  34079.      1.  2.9700E-07  1.9008E-07
34-Se- 80    34080.      0.  3.2450E-05  2.0768E-05
34-Se- 81    34081.      0.  3.1590E-05  2.0217E-05
34-Se- 81-M  34081.      1.  2.1142E-04  1.3531E-04
34-Se- 82    34082.      0.  8.7606E-04  5.6068E-04
34-Se- 83    34083.      0.  1.1899E-03  3.8075E-04
34-Se- 83-M  34083.      1.  3.7079E-04  2.3730E-04
34-Se- 84    34084.      0.  3.2731E-03  1.4729E-03
34-Se- 85    34085.      0.  2.0513E-03  1.3129E-03
34-Se- 85-M  34085.      1.  2.0071E-03  1.2845E-03
34-Se- 86    34086.      0.  2.9340E-03  1.8778E-03
34-Se- 87    34087.      0.  1.3685E-03  8.7582E-04
34-Se- 88    34088.      0.  4.2027E-04  2.6898E-04
34-Se- 89    34089.      0.  5.0349E-05  3.2224E-05
34-Se- 90    34090.      0.  1.2150E-05  7.7760E-06
34-Se- 91    34091.      0.  0.0000E+00  0.0000E+00
34-Se- 92    34092.      0.  2.2599E-08  1.4463E-08
34-Se- 93    34093.      0.  4.6930E-09  3.0035E-09
34-Se- 94    34094.      0.  2.2800E-09  1.4592E-09
34-Se- 95    34095.      0.  7.7631E-13  4.9684E-13
34-Se- 96    34096.      0.  4.7599E-14  3.0464E-14
35-Br- 75    35075.      0.  0.0000E+00  0.0000E+00
35-Br- 77    35077.      0.  7.5799E-14  4.8511E-14
35-Br- 77-M  35077.      1.  2.5400E-13  1.6256E-13
35-Br- 78    35078.      0.  3.3700E-11  2.1568E-11
35-Br- 79    35079.      0.  5.6899E-10  3.6416E-10
35-Br- 79-M  35079.      1.  1.9100E-09  1.2224E-09
35-Br- 80    35080.      0.  3.6699E-09  2.3488E-09
35-Br- 80-M  35080.      1.  1.1000E-08  7.0399E-09
35-Br- 81    35081.      0.  2.6700E-06  1.7088E-06
35-Br- 82    35082.      0.  8.9899E-06  5.7535E-06
35-Br- 82-M  35082.      1.  3.8500E-06  2.4640E-06
35-Br- 83    35083.      0.  1.7061E-04  1.0919E-04
35-Br- 84    35084.      0.  2.7301E-04  1.7472E-04
35-Br- 84-M  35084.      1.  4.8533E-04  3.1061E-04
35-Br- 85    35085.      0.  1.4808E-03  1.6289E-04
35-Br- 86    35086.      0.  1.8910E-03  1.2102E-03
35-Br- 86-M  35086.      1.  1.8910E-03  1.2102E-03
35-Br- 87    35087.      0.  5.5311E-03  3.3186E-04
35-Br- 88    35088.      0.  4.6559E-03  1.8624E-04
35-Br- 89    35089.      0.  3.4379E-03  1.3752E-04
35-Br- 90    35090.      0.  2.1343E-03  2.3477E-04
35-Br- 91    35091.      0.  1.9837E-04  1.2695E-04
35-Br- 92    35092.      0.  2.4640E-05  1.5769E-05
35-Br- 93    35093.      0.  6.5894E-05  4.2173E-05
35-Br- 94    35094.      0.  2.7110E-05  1.7350E-05
35-Br- 95    35095.      0.  1.0900E-08  6.9761E-09
35-Br- 96    35096.      0.  6.1999E-09  3.9679E-09
35-Br- 97    35097.      0.  7.7232E-10  4.9429E-10
36-Kr- 77    36077.      0.  0.0000E+00  0.0000E+00
36-Kr- 78    36078.      0.  0.0000E+00  0.0000E+00
36-Kr- 79-M  36079.      1.  9.7499E-14  6.2399E-14
36-Kr- 79    36079.      0.  9.7499E-14  6.2399E-14
36-Kr- 80    36080.      0.  3.0200E-11  1.9328E-11
36-Kr- 81    36081.      0.  2.0600E-09  1.3184E-09
36-Kr- 81-M  36081.      1.  3.0800E-10  1.9712E-10
36-Kr- 82    36082.      0.  4.4899E-08  2.8736E-08
36-Kr- 83    36083.      0.  1.2400E-06  7.9359E-07
36-Kr- 83-M  36083.      1.  2.9000E-07  1.8560E-07
36-Kr- 84    36084.      0.  2.6080E-05  1.6691E-05
36-Kr- 85    36085.      0.  1.0026E-04  6.4166E-05
36-Kr- 85-M  36085.      1.  2.3560E-05  1.5078E-05
36-Kr- 86    36086.      0.  7.0536E-04  1.6223E-04
36-Kr- 87    36087.      0.  2.8417E-03  1.7050E-04
36-Kr- 88    36088.      0.  7.4708E-03  2.9883E-04
36-Kr- 89    36089.      0.  1.1002E-02  2.2005E-04
36-Kr- 90    36090.      0.  1.0969E-02  3.0714E-04
36-Kr- 91    36091.      0.  6.9690E-03  1.3938E-04
36-Kr- 92    36092.      0.  3.0868E-03  8.6429E-05
36-Kr- 93    36093.      0.  6.3695E-04  5.0956E-05
36-Kr- 94    36094.      0.  2.1530E-04  1.3779E-04
36-Kr- 95    36095.      0.  1.1139E-05  7.1289E-06
36-Kr- 96    36096.      0.  8.1569E-05  5.2204E-05
36-Kr- 97    36097.      0.  1.6069E-05  1.0284E-05
36-Kr- 98    36098.      0.  2.2400E-09  1.4336E-09
36-Kr- 99    36099.      0.  2.6114E-11  1.6713E-11
36-Kr-100    36100.      0.  6.5199E-13  4.1727E-13
37-Rb- 79    37079.      0.  0.0000E+00  0.0000E+00
37-Rb- 81    37081.      0.  6.8399E-14  4.3775E-14
37-Rb- 83    37083.      0.  5.0099E-10  3.2064E-10
37-Rb- 84    37084.      0.  3.8600E-10  2.4704E-10
37-Rb- 85    37085.      0.  4.2400E-07  2.7136E-07
37-Rb- 86-M  37086.      1.  9.1499E-07  5.8559E-07
37-Rb- 86    37086.      0.  9.1499E-07  5.8559E-07
37-Rb- 87    37087.      0.  1.4662E-04  9.3836E-05
37-Rb- 88    37088.      0.  5.7310E-04  2.5790E-04
37-Rb- 89    37089.      0.  2.5491E-03  1.6314E-03
37-Rb- 90    37090.      0.  1.4131E-03  9.0440E-04
37-Rb- 90-M  37090.      1.  6.0361E-03  3.8631E-03
37-Rb- 91    37091.      0.  1.3834E-02  4.4269E-03
37-Rb- 92    37092.      0.  1.6075E-02  9.6453E-04
37-Rb- 93    37093.      0.  1.3555E-02  8.1328E-04
37-Rb- 94    37094.      0.  7.0412E-03  1.1266E-03
37-Rb- 95    37095.      0.  4.3224E-03  9.9415E-04
37-Rb- 96    37096.      0.  3.9076E-04  2.5009E-04
37-Rb- 97    37097.      0.  5.3549E-05  3.4272E-05
37-Rb- 98    37098.      0.  6.7799E-06  4.3392E-06
37-Rb- 99    37099.      0.  3.6667E-07  2.3467E-07
37-Rb-100    37100.      0.  2.0600E-08  1.3184E-08
37-Rb-101    37101.      0.  1.3889E-10  8.8892E-11
37-Rb-102    37102.      0.  3.1977E-12  2.0465E-12
37-Rb-103    37103.      0.  7.0426E-13  4.5073E-13
38-Sr- 83    38083.      0.  1.1600E-14  7.4239E-15
