Neutron energy =  2.5300E-02

PRODUCT      ZAFP     FPS           Y          DY
32-Ge- 81    32081.      0.  1.3445E-03  8.6050E-04
32-Ge- 82    32082.      0.  8.1933E-04  5.2437E-04
32-Ge- 83    32083.      0.  2.4750E-04  1.5840E-04
32-Ge- 84    32084.      0.  1.7260E-04  1.1046E-04
32-Ge- 85    32085.      0.  1.3170E-05  8.4286E-06
32-Ge- 86    32086.      0.  2.1799E-06  1.3952E-06
32-Ge- 87    32087.      0.  3.5898E-08  2.2975E-08
32-Ge- 88    32088.      0.  1.0600E-09  6.7837E-10
32-Ge- 89    32089.      0.  1.0052E-11  6.4336E-12
32-Ge- 90    32090.      0.  2.3931E-12  1.5316E-12
33-As- 69    33069.      0.  0.0000E+00  0.0000E+00
33-As- 71    33071.      0.  0.0000E+00  0.0000E+00
33-As- 72    33072.      0.  0.0000E+00  0.0000E+00
33-As- 73    33073.      0.  5.6999E-13  3.6479E-13
33-As- 74    33074.      0.  1.0200E-11  6.5278E-12
33-As- 74-M  33074.      1.  2.3899E-11  1.5296E-11
33-As- 75    33075.      0.  2.7899E-09  1.7856E-09
33-As- 76    33076.      0.  5.5599E-08  3.5583E-08
33-As- 77    33077.      0.  1.1900E-06  7.6158E-07
33-As- 78    33078.      0.  1.1580E-05  7.4110E-06
33-As- 79    33079.      0.  9.5238E-05  6.0952E-05
33-As- 80    33080.      0.  4.1792E-04  2.6747E-04
33-As- 81    33081.      0.  2.0494E-03  1.3116E-03
33-As- 82    33082.      0.  1.5874E-03  1.0159E-03
33-As- 82-M  33082.      1.  1.5874E-03  1.0159E-03
33-As- 83    33083.      0.  4.5686E-03  2.9239E-03
33-As- 84-M  33084.      1.  7.7832E-04  4.9812E-04
33-As- 84    33084.      0.  7.7832E-04  4.9812E-04
33-As- 85    33085.      0.  1.0514E-03  6.7287E-04
33-As- 86    33086.      0.  4.2751E-04  2.7361E-04
33-As- 87    33087.      0.  3.2619E-05  2.0876E-05
33-As- 88    33088.      0.  2.4499E-06  1.5680E-06
33-As- 89    33089.      0.  1.5699E-07  1.0047E-07
33-As- 90    33090.      0.  2.7377E-08  1.7522E-08
33-As- 92    33092.      0.  1.8238E-12  1.1673E-12
33-As- 93    33093.      0.  3.4503E-12  2.2082E-12
34-Se- 72    34072.      0.  0.0000E+00  0.0000E+00
34-Se- 73    34073.      0.  0.0000E+00  0.0000E+00
