Neutron energy =  5.0000E+05

PRODUCT      ZAFP     FPS           Y          DY
33-As- 71    33071.      0.  0.0000E+00  0.0000E+00
33-As- 72    33072.      0.  0.0000E+00  0.0000E+00
33-As- 73    33073.      0.  1.3201E-14  8.4484E-15
33-As- 74    33074.      0.  7.3704E-13  4.7170E-13
33-As- 74-M  33074.      1.  1.9901E-12  1.2737E-12
33-As- 75    33075.      0.  2.9402E-10  1.8817E-10
33-As- 76    33076.      0.  1.6101E-08  1.0305E-08
33-As- 77    33077.      0.  5.1403E-07  3.2898E-07
33-As- 78    33078.      0.  4.8902E-06  3.1298E-06
33-As- 79    33079.      0.  5.2823E-05  3.3807E-05
33-As- 80    33080.      0.  2.4044E-04  1.5388E-04
33-As- 81    33081.      0.  9.2818E-04  5.9403E-04
33-As- 82    33082.      0.  9.2656E-04  5.9300E-04
33-As- 82-M  33082.      1.  9.2656E-04  5.9300E-04
33-As- 83    33083.      0.  2.9323E-03  1.8767E-03
33-As- 84-M  33084.      1.  1.3363E-03  8.5522E-04
33-As- 84    33084.      0.  1.3363E-03  8.5522E-04
33-As- 85    33085.      0.  2.0080E-03  1.2851E-03
33-As- 86    33086.      0.  5.5784E-04  3.5702E-04
33-As- 87    33087.      0.  1.6767E-04  1.0731E-04
33-As- 88    33088.      0.  2.1611E-05  1.3831E-05
33-As- 89    33089.      0.  2.3500E-06  1.5040E-06
33-As- 90    33090.      0.  1.5940E-07  1.0202E-07
33-As- 91    33091.      0.  1.6385E-08  1.0486E-08
33-As- 92    33092.      0.  4.3997E-11  2.8158E-11
33-As- 93    33093.      0.  1.4919E-12  9.5481E-13
34-Se- 72    34072.      0.  0.0000E+00  0.0000E+00
34-Se- 73    34073.      0.  0.0000E+00  0.0000E+00
34-Se- 73-M  34073.      1.  0.0000E+00  0.0000E+00
34-Se- 74    34074.      0.  0.0000E+00  0.0000E+00
34-Se- 75    34075.      0.  1.6001E-14  1.0240E-14
34-Se- 76    34076.      0.  3.8602E-12  2.4705E-12
34-Se- 77    34077.      0.  4.2102E-11  2.6945E-11
34-Se- 77-M  34077.      1.  3.0802E-10  1.9713E-10
34-Se- 78    34078.      0.  1.4201E-08  9.0884E-09
34-Se- 79    34079.      0.  3.6902E-07  2.3617E-07
34-Se- 79-M  34079.      1.  5.0302E-08  3.2194E-08
34-Se- 80    34080.      0.  7.6504E-06  4.8962E-06
34-Se- 81    34081.      0.  8.9004E-06  5.6963E-06
34-Se- 81-M  34081.      1.  6.5243E-05  4.1756E-05
34-Se- 82    34082.      0.  5.5040E-04  3.5225E-04
34-Se- 83    34083.      0.  1.6770E-03  1.0732E-03
34-Se- 83-M  34083.      1.  3.4353E-04  2.1986E-04
34-Se- 84    34084.      0.  6.1236E-03  3.9191E-03
34-Se- 85    34085.      0.  5.4290E-03  3.4745E-03
34-Se- 85-M  34085.      1.  5.4066E-03  3.4602E-03
34-Se- 86    34086.      0.  1.0944E-02  3.5022E-03
34-Se- 87    34087.      0.  7.8622E-03  5.0318E-03
34-Se- 88    34088.      0.  3.9850E-03  2.5504E-03
34-Se- 89    34089.      0.  1.1321E-03  7.2457E-04
34-Se- 90    34090.      0.  2.0979E-04  1.3427E-04
34-Se- 91    34091.      0.  2.1565E-05  1.3801E-05
34-Se- 92    34092.      0.  1.4700E-06  9.4082E-07
34-Se- 93    34093.      0.  4.9846E-08  3.1902E-08
34-Se- 94    34094.      0.  9.6705E-10  6.1891E-10
34-Se- 95    34095.      0.  7.8439E-12  5.0201E-12
34-Se- 96    34096.      0.  1.2801E-13  8.1924E-14
35-Br- 75    35075.      0.  0.0000E+00  0.0000E+00
35-Br- 77    35077.      0.  0.0000E+00  0.0000E+00
35-Br- 77-M  35077.      1.  0.0000E+00  0.0000E+00
35-Br- 78    35078.      0.  5.5103E-13  3.5266E-13
35-Br- 79    35079.      0.  1.4901E-11  9.5365E-12
35-Br- 79-M  35079.      1.  5.6103E-11  3.5906E-11
35-Br- 80    35080.      0.  8.0604E-10  5.1587E-10
35-Br- 80-M  35080.      1.  2.8601E-09  1.8305E-09
35-Br- 81    35081.      0.  1.5001E-07  9.6005E-08
35-Br- 82    35082.      0.  2.2501E-06  1.4401E-06
35-Br- 82-M  35082.      1.  8.3304E-07  5.3315E-07
35-Br- 83    35083.      0.  4.5782E-05  2.9301E-05
35-Br- 84    35084.      0.  1.1538E-04  7.3840E-05
35-Br- 84-M  35084.      1.  2.4517E-04  1.5691E-04
35-Br- 85    35085.      0.  2.0801E-03  1.3312E-03
35-Br- 86    35086.      0.  2.5711E-03  1.6455E-03
35-Br- 86-M  35086.      1.  2.5642E-03  1.6411E-03
35-Br- 87    35087.      0.  1.1823E-02  3.7833E-03
35-Br- 88    35088.      0.  1.3795E-02  4.4142E-03
35-Br- 89    35089.      0.  1.3805E-02  4.4175E-03
35-Br- 90    35090.      0.  6.4199E-03  4.1087E-03
35-Br- 91    35091.      0.  2.6441E-03  1.6922E-03
35-Br- 92    35092.      0.  4.8959E-04  3.1334E-04
35-Br- 93    35093.      0.  6.5603E-05  4.1986E-05
35-Br- 94    35094.      0.  3.9202E-06  2.5089E-06
35-Br- 95    35095.      0.  2.6208E-07  1.6773E-07
35-Br- 96    35096.      0.  6.4003E-09  4.0962E-09
35-Br- 97    35097.      0.  6.1956E-11  3.9652E-11
35-Br- 98    35098.      0.  3.2025E-12  2.0496E-12
35-Br- 99    35099.      0.  1.0890E-12  6.9697E-13
36-Kr- 77    36077.      0.  0.0000E+00  0.0000E+00
36-Kr- 78    36078.      0.  0.0000E+00  0.0000E+00
36-Kr- 79-M  36079.      1.  0.0000E+00  0.0000E+00
36-Kr- 79    36079.      0.  0.0000E+00  0.0000E+00
36-Kr- 80    36080.      0.  2.0901E-13  1.3377E-13
36-Kr- 81    36081.      0.  2.1801E-11  1.3953E-11
36-Kr- 81-M  36081.      1.  2.9701E-12  1.9009E-12
36-Kr- 82    36082.      0.  2.2801E-09  1.4593E-09
36-Kr- 83    36083.      0.  8.1504E-08  5.2163E-08
36-Kr- 83-M  36083.      1.  1.6701E-08  1.0688E-08
36-Kr- 84    36084.      0.  3.3202E-06  2.1249E-06
36-Kr- 85    36085.      0.  4.6452E-05  2.9729E-05
36-Kr- 85-M  36085.      1.  9.5105E-06  6.0867E-06
36-Kr- 86    36086.      0.  5.0702E-04  3.2450E-04
36-Kr- 87    36087.      0.  2.5704E-03  1.6450E-03
36-Kr- 88    36088.      0.  1.0035E-02  3.2113E-03
36-Kr- 89    36089.      0.  2.2817E-02  7.3015E-03
36-Kr- 90    36090.      0.  3.6454E-02  1.1665E-02
36-Kr- 91    36091.      0.  3.4653E-02  1.1089E-02
36-Kr- 92    36092.      0.  2.3805E-02  7.6175E-03
36-Kr- 93    36093.      0.  8.1835E-03  5.2374E-03
36-Kr- 94    36094.      0.  1.9898E-03  1.2735E-03
36-Kr- 95    36095.      0.  3.4493E-04  2.2075E-04
36-Kr- 96    36096.      0.  3.7342E-05  2.3899E-05
36-Kr- 97    36097.      0.  2.0700E-06  1.3248E-06
36-Kr- 98    36098.      0.  1.0700E-07  6.8481E-08
36-Kr- 99    36099.      0.  3.6386E-08  2.3287E-08
36-Kr-100    36100.      0.  3.3602E-11  2.1505E-11
36-Kr-101    36101.      0.  1.1301E-12  7.2327E-13
37-Rb- 79    37079.      0.  0.0000E+00  0.0000E+00
37-Rb- 81    37081.      0.  0.0000E+00  0.0000E+00
37-Rb- 83    37083.      0.  4.2502E-12  2.7201E-12
37-Rb- 84    37084.      0.  4.2702E-10  2.7329E-10
37-Rb- 85    37085.      0.  3.2002E-08  2.0481E-08
37-Rb- 86-M  37086.      1.  4.1502E-07  2.6561E-07
37-Rb- 86    37086.      0.  4.1502E-07  2.6561E-07
37-Rb- 87    37087.      0.  1.7891E-05  1.1450E-05
37-Rb- 88    37088.      0.  1.8470E-04  1.1821E-04
37-Rb- 89    37089.      0.  1.4266E-03  9.1301E-04
37-Rb- 90    37090.      0.  8.8646E-04  5.6734E-04
37-Rb- 90-M  37090.      1.  4.3253E-03  2.7682E-03
37-Rb- 91    37091.      0.  1.6855E-02  5.3937E-03
37-Rb- 92    37092.      0.  2.5318E-02  8.1017E-03
37-Rb- 93    37093.      0.  2.9783E-02  9.5307E-03
37-Rb- 94    37094.      0.  1.7076E-02  5.4642E-03
37-Rb- 95    37095.      0.  1.1241E-02  3.5971E-03
37-Rb- 96    37096.      0.  3.0843E-03  1.9740E-03
37-Rb- 97    37097.      0.  7.0642E-04  4.5211E-04
37-Rb- 98    37098.      0.  9.9065E-05  6.3402E-05
37-Rb- 99    37099.      0.  4.7888E-05  3.0648E-05
37-Rb-100    37100.      0.  3.7402E-07  2.3937E-07
37-Rb-101    37101.      0.  3.7759E-08  2.4166E-08
37-Rb-102    37102.      0.  1.1703E-10  7.4897E-11
37-Rb-103    37103.      0.  2.7127E-12  1.7361E-12
37-Rb-104    37104.      0.  9.5178E-14  6.0914E-14
38-Sr- 83    38083.      0.  0.0000E+00  0.0000E+00
38-Sr- 84    38084.      0.  0.0000E+00  0.0000E+00
38-Sr- 85-M  38085.      1.  7.1504E-13  4.5762E-13
38-Sr- 85    38085.      0.  7.1504E-13  4.5762E-13
38-Sr- 86    38086.      0.  1.6901E-10  1.0816E-10
38-Sr- 87    38087.      0.  8.3604E-09  5.3507E-09
38-Sr- 87-M  38087.      1.  1.7101E-09  1.0944E-09
38-Sr- 88    38088.      0.  4.4502E-07  2.8481E-07
38-Sr- 89    38089.      0.  9.1305E-06  5.8435E-06
38-Sr- 90    38090.      0.  1.3472E-04  8.6219E-05
38-Sr- 91    38091.      0.  1.0998E-03  7.0384E-04
38-Sr- 92    38092.      0.  6.0026E-03  3.8416E-03
38-Sr- 93    38093.      0.  1.5671E-02  5.0147E-03
38-Sr- 94    38094.      0.  3.0808E-02  7.0859E-03
38-Sr- 95    38095.      0.  4.5432E-02  1.4538E-02
38-Sr- 96    38096.      0.  4.2355E-02  9.7416E-03
38-Sr- 97    38097.      0.  2.3418E-02  7.4937E-03
38-Sr- 98    38098.      0.  1.2352E-02  3.9526E-03
38-Sr- 99    38099.      0.  2.8586E-03  1.8295E-03
38-Sr-100    38100.      0.  5.0159E-04  3.2102E-04
38-Sr-101    38101.      0.  4.9695E-05  3.1805E-05
38-Sr-102    38102.      0.  3.9101E-06  2.5024E-06
38-Sr-103    38103.      0.  9.0635E-08  5.8006E-08
38-Sr-104    38104.      0.  3.1801E-09  2.0352E-09
38-Sr-105    38105.      0.  0.0000E+00  0.0000E+00
38-Sr-106    38106.      0.  0.0000E+00  0.0000E+00
38-Sr-107    38107.      0.  0.0000E+00  0.0000E+00
38-Sr-108    38108.      0.  0.0000E+00  0.0000E+00
39-Y - 85    39085.      0.  0.0000E+00  0.0000E+00
39-Y - 87    39087.      0.  1.1001E-13  7.0404E-14
39-Y - 88    39088.      0.  1.4201E-11  9.0884E-12
39-Y - 89    39089.      0.  2.1101E-10  1.3505E-10
39-Y - 89-M  39089.      1.  1.0301E-09  6.5923E-10
39-Y - 90-M  39090.      1.  2.5801E-08  1.6513E-08
39-Y - 90    39090.      0.  2.5801E-08  1.6513E-08
39-Y - 91-M  39091.      1.  9.0004E-07  5.7603E-07
39-Y - 91    39091.      0.  9.0004E-07  5.7603E-07
39-Y - 92    39092.      0.  2.5151E-05  1.6097E-05
39-Y - 93-M  39093.      1.  1.3772E-04  8.8139E-05
39-Y - 93    39093.      0.  1.3772E-04  8.8139E-05
39-Y - 94    39094.      0.  1.3418E-03  8.5876E-04
39-Y - 95    39095.      0.  7.0142E-03  4.4891E-03
39-Y - 96    39096.      0.  1.2832E-03  8.2126E-04
39-Y - 96-M  39096.      1.  1.2974E-02  4.1518E-03
39-Y - 97-M  39097.      1.  1.2997E-02  8.3184E-03
39-Y - 97    39097.      0.  1.2997E-02  8.3184E-03
39-Y - 98    39098.      0.  1.5133E-02  4.8427E-03
39-Y - 98-M  39098.      1.  1.5132E-02  4.8421E-03
39-Y - 99    39099.      0.  2.4628E-02  7.8811E-03
39-Y -100    39100.      0.  1.0467E-02  3.3494E-03
39-Y -101    39101.      0.  3.9737E-03  2.5432E-03
39-Y -102    39102.      0.  8.4174E-04  5.3871E-04
39-Y -103    39103.      0.  1.1929E-04  7.6343E-05
39-Y -104    39104.      0.  7.9404E-06  5.0818E-06
39-Y -105    39105.      0.  4.0495E-13  2.5917E-13
39-Y -106    39106.      0.  1.3232E-14  8.4686E-15
39-Y -107    39107.      0.  8.6400E-16  5.5296E-16
39-Y -108    39108.      0.  7.3900E-18  4.7296E-18
39-Y -109    39109.      0.  0.0000E+00  0.0000E+00
39-Y -110    39110.      0.  5.6269E-14  3.6012E-14
40-Zr- 87    40087.      0.  0.0000E+00  0.0000E+00
40-Zr- 88    40088.      0.  0.0000E+00  0.0000E+00
40-Zr- 89    40089.      0.  1.2701E-14  8.1284E-15
40-Zr- 90-M  40090.      1.  1.1701E-12  7.4884E-13
40-Zr- 90    40090.      0.  1.1701E-12  7.4884E-13
40-Zr- 91    40091.      0.  2.3701E-10  1.5169E-10
40-Zr- 92    40092.      0.  1.5801E-08  1.0113E-08
40-Zr- 93    40093.      0.  4.4402E-07  2.8417E-07
40-Zr- 94    40094.      0.  9.8605E-06  6.3107E-06
40-Zr- 95    40095.      0.  1.2646E-04  8.0932E-05
40-Zr- 96    40096.      0.  9.6988E-04  6.2072E-04
